InitialWolves,Run,Extinction,ExtinctionWeek,MinDeer,FinalDeer,FinalWolves,MaxWolves,TimeToDeer4000,TimeToDeer3000,MeanDeerPerWolf_Year1,MeanWeeklyDeerKilled_Year1,MeanWolfBirths_Year1,MeanWolfDeaths_Year1,MeanDeer_FinalPhase,SDDeer_FinalPhase,MeanWolves_FinalPhase
45,10,True,0.0,227,240,0,83,922.0,1026.5,256.5721636692062,5.447619047619048,0.05714285714285714,0.01904761904761905,242.50169491525423,7.188890330422082,1.23954802259887
45,11,False,,615,1078,5,86,1013.0,1124.5,237.7962201670452,6.161904761904762,0.18095238095238095,0.06666666666666667,1693.2603739626038,706.0521545881863,12.21127887211279
45,12,True,0.0,332,634,0,74,1005.5,1111.0,246.2873822208178,5.761904761904762,0.08571428571428572,0.06666666666666667,2009.1270718232045,972.9844956822639,14.119537920642893
45,13,True,0.0,379,500,0,82,1109.5,1235.0,243.90909202893315,5.314285714285714,0.08571428571428572,0.02857142857142857,426.4761077324066,35.881702894040714,2.531711555169418
45,14,True,0.0,204,206,0,86,864.0,953.5,243.0508725624318,6.333333333333333,0.09523809523809523,0.01904761904761905,228.34296028880865,17.3886563327204,1.5126353790613718
45,15,True,0.0,510,1820,0,73,913.0,1036.5,251.7692080622978,6.504761904761905,0.0761904761904762,0.047619047619047616,1397.003048780488,210.00388306104117,2.674288617886179
45,16,True,0.0,377,426,0,78,989.0,1102.5,269.86287930752565,6.352380952380952,0.0761904761904762,0.05714285714285714,410.7100538599641,14.902900680549113,2.2800718132854576
45,17,False,,610,2007,12,83,865.5,979.5,253.64641969717897,6.276190476190476,0.06666666666666667,0.02857142857142857,2007.5715428457154,688.1873625010194,14.724027597240276
45,18,True,0.0,412,474,0,78,1034.5,1202.0,233.45065507742487,5.180952380952381,0.12380952380952381,0.02857142857142857,457.6008298755187,30.122162666317912,2.4854771784232366
45,19,True,0.0,443,487,0,75,825.5,927.5,258.3453205327581,6.628571428571429,0.047619047619047616,0.02857142857142857,478.36555023923444,19.191222645694097,2.9167464114832535
50,0,False,,611,1700,12,80,1191.5,1348.0,212.55132825752173,6.390476190476191,0.11428571428571428,0.047619047619047616,1930.1333866613338,571.9259006254389,13.75022497750225
50,1,False,,592,2688,17,79,1014.5,1120.0,232.78861668623497,6.228571428571429,0.06666666666666667,0.05714285714285714,2349.6097390260975,396.73863963715695,16.322267773222677
50,2,True,0.0,532,1194,0,76,890.5,990.0,205.66390836425285,6.3428571428571425,0.1619047619047619,0.0380952380952381,1220.0024044241404,306.77635828230206,7.583313296465496
50,3,False,,257,1851,11,74,806.0,885.5,226.00469748576742,7.3619047619047615,0.05714285714285714,0.047619047619047616,2329.81801819818,252.17488907365868,16.828517148285172
50,4,True,0.0,184,186,0,73,848.5,968.5,206.59581861564817,7.438095238095238,0.17142857142857143,0.009523809523809525,298.6868064118372,92.02270552362154,3.025893958076449
50,5,False,,443,2859,18,75,977.0,1080.0,227.991353831346,7.371428571428571,0.0761904761904762,0.047619047619047616,1549.6008399160085,685.0762781291544,11.029097090290971
50,6,True,0.0,575,759,0,75,899.0,1014.5,216.27272759614004,7.123809523809523,0.11428571428571428,0.0380952380952381,690.7503536067893,59.560699380572245,2.1944837340876946
50,7,False,,534,1372,10,78,1087.5,1287.0,223.3578181127656,6.3238095238095235,0.11428571428571428,0.047619047619047616,1983.930806919308,277.0646426591434,14.82011798820118
50,8,False,,536,3252,28,75,1050.5,1181.5,217.3106734071519,6.3619047619047615,0.12380952380952381,0.05714285714285714,2843.160083991601,761.924602615346,19.822017798220177
50,9,True,0.0,381,832,0,77,970.5,1077.0,221.3448907964051,5.371428571428571,0.14285714285714285,0.05714285714285714,1181.7111609646663,545.9945536231246,7.826275939427931
50,10,False,,282,779,6,87,767.5,878.0,210.62575577235935,7.257142857142857,0.19047619047619047,0.047619047619047616,1699.4495550444956,477.7321120461257,12.408259174082591
50,11,False,,365,1753,13,79,991.0,1082.5,215.81769648620377,6.4,0.08571428571428572,0.009523809523809525,2170.01099890011,536.7377593192155,14.092390760923907
50,12,True,0.0,455,575,0,82,957.0,1079.0,221.45416603231828,6.257142857142857,0.12380952380952381,0.05714285714285714,511.48120989917504,42.00017873272294,2.30980751604033
50,13,True,0.0,488,778,0,85,967.0,1068.5,212.88019073484844,6.533333333333333,0.17142857142857143,0.08571428571428572,613.3116883116883,73.60161603631131,1.1122994652406417
50,14,True,0.0,224,256,0,81,1148.0,1248.5,244.42859024442342,6.247619047619048,0.06666666666666667,0.08571428571428572,247.3463098134631,13.65463165645336,1.9748580697485807
50,15,True,0.0,799,1702,0,75,1005.0,1122.0,230.55555003407125,6.228571428571429,0.0761904761904762,0.06666666666666667,2427.845750142613,554.3269278429367,16.050656018254422
50,16,False,,646,1950,17,74,1176.0,1356.5,234.6229534810261,6.380952380952381,0.0761904761904762,0.0761904761904762,2317.934606539346,532.2520484913775,15.763223677632237
50,17,False,,437,1370,8,79,825.0,937.5,215.50330606729725,7.285714285714286,0.12380952380952381,0.06666666666666667,2335.165483451655,361.2434967061535,16.434856514348564
50,18,False,,376,1970,16,78,898.0,1008.0,230.27792618686073,7.352380952380952,0.09523809523809523,0.06666666666666667,1944.034196580342,376.19300157030693,13.849115088491152
50,19,True,0.0,398,529,0,75,1130.0,1254.0,234.2169942421367,6.295238095238095,0.06666666666666667,0.05714285714285714,459.97103918228277,34.74759819028286,2.835604770017036
